Date,Open,High,Low,Close,Pre Settle,Settle,Volume,Open Interest,Turnover
2020-11-13,865.5,890.5,865.5,870.0,838.5,866.0,588.0,0.0,50968.05
2020-11-12,,,,838.5,920.0,838.5,0.0,1088.0,0.0
2020-11-11,920.0,920.0,920.0,920.0,873.0,920.0,80.0,1088.0,7360.0
2020-11-10,855.0,891.5,855.0,891.5,810.5,873.0,60.0,1168.0,5240.65
2020-11-09,846.5,860.0,765.0,860.0,849.5,810.5,126.0,1126.0,10214.75
2020-11-06,847.5,875.0,840.0,866.0,878.0,849.5,154.0,1173.0,13088.4
2020-11-05,870.0,889.0,868.5,868.5,886.5,878.0,274.0,1224.0,24070.0
2020-11-04,885.0,889.0,885.0,886.0,878.5,886.5,37.0,1332.0,3281.6
2020-11-03,852.0,888.0,852.0,888.0,868.0,878.5,12.0,1367.0,1054.65
2020-11-02,865.0,876.0,859.0,876.0,859.0,868.0,119.0,1365.0,10329.6
2020-10-30,856.5,868.5,852.0,861.0,851.5,859.0,451.0,1397.0,38759.9
2020-10-29,851.0,862.5,846.0,861.5,843.5,851.5,325.0,1754.0,27679.7
2020-10-28,842.0,864.5,828.5,859.0,853.0,843.5,741.0,1987.0,62534.25
2020-10-27,860.0,866.0,833.5,845.5,860.0,853.0,3110.0,2366.0,265380.05
2020-10-26,863.0,868.5,852.5,857.0,868.0,860.0,805.0,4832.0,69246.95
2020-10-23,861.0,875.0,860.0,864.0,867.0,868.0,600.0,5226.0,52102.5
2020-10-22,863.0,878.0,858.5,864.5,862.5,867.0,1194.0,5333.0,103536.1
2020-10-21,865.0,871.0,858.5,870.0,865.0,862.5,1853.0,5589.0,159886.0
2020-10-20,858.5,872.5,855.5,864.5,870.0,865.0,632.0,5987.0,54678.2
2020-10-19,876.0,889.5,847.0,856.5,876.0,870.0,3537.0,6120.0,307790.85
2020-10-16,878.0,880.0,870.5,876.0,885.0,876.0,2533.0,8239.0,221892.05
2020-10-15,904.5,905.0,879.0,883.0,909.0,885.0,2965.0,8833.0,262465.35
2020-10-14,919.5,920.5,899.0,900.0,919.5,909.0,2177.0,9868.0,197930.2
2020-10-13,931.5,934.0,910.5,917.5,936.0,919.5,5126.0,10156.0,471493.2
2020-10-12,930.0,941.0,930.0,933.5,923.5,936.0,2227.0,11231.0,208474.0
2020-10-09,920.0,934.0,916.0,931.5,901.5,923.5,2939.0,11311.0,271540.0
2020-09-30,888.0,918.0,885.0,918.0,877.0,901.5,8093.0,10943.0,729948.9
2020-09-29,876.0,886.5,871.0,886.5,868.0,877.0,5950.0,10472.0,522031.85
